id,text,author_id,created_at,public_metrics,reply_settings,entities,possibly_sensitive,edit_history_tweet_ids,source,lang,referenced_tweets,conversation_id,in_reply_to_user_id,attachments,withheld,predictions
1140906973552087042,RT @AprajitaSarangi: Keeping Bhubaneswar clean which include lifting of garbage and desilting/ declogging of drains ought to be a daily aff…,1004634388079042561,2019-06-18T08:59:54.000Z,"{'retweet_count': 54, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 19, 'username': 'AprajitaSarangi', 'id': '1051383222486147072'}], 'annotations': [{'start': 29, 'end': 39, 'probability': 0.3865, 'type': 'Place', 'normalized_text': 'Bhubaneswar'}]}",False,['1140906973552087042'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '1140813185995268096'}]",1140906973552087042,,,,1
1140906951926321153,"RT @NWmwaypolice: UPDATE regarding the 
M61 S/B access to the A580 which is currently closed due to a serious collision. 

Duty garage has…",109989445,2019-06-18T08:59:49.000Z,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 16, 'username': 'NWmwaypolice', 'id': '481308864'}], 'annotations': [{'start': 40, 'end': 42, 'probability': 0.4836, 'type': 'Other', 'normalized_text': 'M61'}, {'start': 62, 'end': 65, 'probability': 0.5009, 'type': 'Other', 'normalized_text': 'A580'}]}",False,['1140906951926321153'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '1140885996478828544'}]",1140906951926321153,,,,1
1140906943881592832,"RT @FOX13News: WORLD RECORD! 633 divers in South Florida broke the Guinness World Record for the largest underwater cleanup in history, col…",3087266636,2019-06-18T08:59:47.000Z,"{'retweet_count': 20882, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'FOX13News', 'id': '15750898'}], 'annotations': [{'start': 43, 'end': 55, 'probability': 0.953, 'type': 'Place', 'normalized_text': 'South Florida'}, {'start': 67, 'end': 87, 'probability': 0.9032, 'type': 'Other', 'normalized_text': 'Guinness World Record'}]}",False,['1140906943881592832'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1140335163509039105'}]",1140906943881592832,,,,1
1140906930891841536,"RT @slutoIogy: hurricane: destroys thousands of homes, causes catastrophic flooding and kills people
christians: but god saved this cross!…",1038764965094670336,2019-06-18T08:59:44.000Z,"{'retweet_count': 37758, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'slutoIogy', 'id': '506379561'}]}",False,['1140906930891841536'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '901834855109021697'}]",1140906930891841536,,,,1
1140906856912605184,"RT @FOX13News: WORLD RECORD! 633 divers in South Florida broke the Guinness World Record for the largest underwater cleanup in history, col…",2760073577,2019-06-18T08:59:26.000Z,"{'retweet_count': 20882, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'FOX13News', 'id': '15750898'}], 'annotations': [{'start': 43, 'end': 55, 'probability': 0.953, 'type': 'Place', 'normalized_text': 'South Florida'}, {'start': 67, 'end': 87, 'probability': 0.9032, 'type': 'Other', 'normalized_text': 'Guinness World Record'}]}",False,['1140906856912605184'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1140335163509039105'}]",1140906856912605184,,,,1
1140906779900968961,"RT @FOX13News: WORLD RECORD! 633 divers in South Florida broke the Guinness World Record for the largest underwater cleanup in history, col…",1003858943850905600,2019-06-18T08:59:08.000Z,"{'retweet_count': 20882, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'FOX13News', 'id': '15750898'}], 'annotations': [{'start': 43, 'end': 55, 'probability': 0.953, 'type': 'Place', 'normalized_text': 'South Florida'}, {'start': 67, 'end': 87, 'probability': 0.9032, 'type': 'Other', 'normalized_text': 'Guinness World Record'}]}",False,['1140906779900968961'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '1140335163509039105'}]",1140906779900968961,,,,1
1140906728537632768,"@MarcIles Hurricane Ken ripped through Bolton Wanderers, destroying buildings, careers and lives in its path. Wheater is the house that survived intact, protecting its residents from obliteration. True professional and I hope he continues to stand.",14547978,2019-06-18T08:58:55.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}",everyone,"{'mentions': [{'start': 0, 'end': 9, 'username': 'MarcIles', 'id': '27872612'}], 'annotations': [{'start': 10, 'end': 22, 'probability': 0.375, 'type': 'Place', 'normalized_text': 'Hurricane Ken'}, {'start': 39, 'end': 54, 'probability': 0.3779, 'type': 'Organization', 'normalized_text': 'Bolton Wanderers'}]}",False,['1140906728537632768'],Talon Android,en,"[{'type': 'replied_to', 'id': '1140868454502846464'}]",1140868454502846464,27872612.0,,,1
1140906717611470848,RT @ABC: UNDERWATER CLEANUP: Around 633 scuba divers set a world record for the largest mass underwater cleanup of a section of seabed near…,160472623,2019-06-18T08:58:53.000Z,"{'retweet_count': 402, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 7, 'username': 'ABC', 'id': '28785486'}], 'annotations': [{'start': 9, 'end': 26, 'probability': 0.7895, 'type': 'Other', 'normalized_text': 'UNDERWATER CLEANUP'}]}",False,['1140906717611470848'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '1140766348559171585'}]",1140906717611470848,,,,1
1140906646849196032,"RT @FOX13News: WORLD RECORD! 633 divers in South Florida broke the Guinness World Record for the largest underwater cleanup in history, col…",84839719,2019-06-18T08:58:36.000Z,"{'retweet_count': 20882, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'FOX13News', 'id': '15750898'}], 'annotations': [{'start': 43, 'end': 55, 'probability': 0.953, 'type': 'Place', 'normalized_text': 'South Florida'}, {'start': 67, 'end': 87, 'probability': 0.9032, 'type': 'Other', 'normalized_text': 'Guinness World Record'}]}",False,['1140906646849196032'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1140335163509039105'}]",1140906646849196032,,,,1
1140906473641275392,"RT @FOX13News: WORLD RECORD! 633 divers in South Florida broke the Guinness World Record for the largest underwater cleanup in history, col…",2658843768,2019-06-18T08:57:54.000Z,"{'retweet_count': 20882, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'FOX13News', 'id': '15750898'}], 'annotations': [{'start': 43, 'end': 55, 'probability': 0.953, 'type': 'Place', 'normalized_text': 'South Florida'}, {'start': 67, 'end': 87, 'probability': 0.9032, 'type': 'Other', 'normalized_text': 'Guinness World Record'}]}",False,['1140906473641275392'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1140335163509039105'}]",1140906473641275392,,,,1
